,INSTNM,CITY,ADM_RATE,SAT_AVG,UGDS,UG,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,FAMINC
1368,Stevenson University,Owings Mills,0.841,,2979.0,,55942.0,,38738.0,38738.0,,,
1369,Washington College,Chestertown,0.7471,1259.0,935.0,,67427.0,,52481.0,52481.0,,,
1370,McDaniel College,Westminster,0.8205,,1748.0,,63340.0,,46800.0,46800.0,,,
1371,Wor-Wic Community College,Salisbury,,,1886.0,,14152.0,,3624.0,8280.0,,,
1372,Hult International Business School,Cambridge,0.4774,,682.0,,74000.0,,50825.0,50825.0,,,
1373,American International College,Springfield,0.8936,,1142.0,,53236.0,,40550.0,40550.0,,,
1374,Amherst College,Amherst,0.0726,1513.0,1898.0,,80060.0,,64100.0,64100.0,,,
1375,Anna Maria College,Paxton,0.6958,,991.0,,55594.0,,41010.0,41010.0,,,
1376,Assabet Valley Regional Technical School,Marlborough,0.4737,,54.0,,,42983.0,,,,,
1377,Assumption University,Worcester,0.823,,1676.0,,60262.0,,47508.0,47508.0,,,
1378,Babson College,Wellesley,0.2235,1434.0,2709.0,,76360.0,,54944.0,54944.0,,,
1379,Bancroft School of Massage Therapy,Worcester,,,26.0,,,,,,,,
1380,Boston Baptist College,Boston,1.0,,39.0,,26691.0,,12600.0,12600.0,,,
1381,Bay Path University,Longmeadow,0.7563,1080.0,1263.0,,46775.0,,35781.0,35781.0,,,
1382,Bay State College,Boston,0.4771,,223.0,,51350.0,,29500.0,29500.0,,,
1383,Bentley University,Waltham,0.5788,1346.0,4070.0,,74902.0,,56500.0,56500.0,,,
1384,Berklee College of Music,Boston,0.5423,,7395.0,,66950.0,,48330.0,48330.0,,,
1385,Berkshire Community College,Pittsfield,,,1092.0,,15929.0,,5492.0,11520.0,,,
1386,Empire Beauty School-Boston,Boston,,,66.0,,,22804.0,,,,,
1387,Boston Architectural College,Boston,,,259.0,,37211.0,,22144.0,22144.0,,,
1388,Boston Graduate School of Psychoanalysis Inc,Brookline,,,,,,,,,,,
1389,Boston College,Chestnut Hill,0.1666,1500.0,9751.0,,80560.0,,64176.0,64176.0,,,
1390,Boston University,Boston,0.1437,1454.0,17668.0,,79463.0,,62360.0,62360.0,,,
1391,Brandeis University,Waltham,0.3941,1473.0,3675.0,,79342.0,,62322.0,62322.0,,,
1392,Bridgewater State University,Bridgewater,0.8771,1110.0,7911.0,,24818.0,,11051.0,17191.0,,,
1393,Bristol Community College,Fall River,,,4920.0,,11761.0,,5280.0,10224.0,,,
1394,Signature Healthcare Brockton Hospital School of Nursing,Brockton,0.0909,,150.0,,,29084.0,,,,,
1395,Bunker Hill Community College,Boston,,,7260.0,,14323.0,,5280.0,10224.0,,,
1396,Cambridge College,Boston,,,656.0,,28317.0,,17190.0,17190.0,,,
1397,Cape Cod Community College,West Barnstable,,,1998.0,,13616.0,,5592.0,10536.0,,,
1398,Catherine Hinds Institute of Esthetics,Woburn,,,186.0,,,24586.0,,,,,
1399,Laboure College of Healthcare,Milton,0.3883,,962.0,,,,32813.0,32813.0,,,
1400,Clark University,Worcester,0.5032,1373.0,2363.0,,61716.0,,52352.0,52352.0,,,
1401,Conway School of Landscape Design,Northampton,,,,,,,,,,,
1402,Curry College,Milton,0.8752,,1804.0,,60570.0,,44920.0,44920.0,,,
1403,Lincoln Technical Institute-Somerville,Somerville,,,399.0,,,36741.0,,,,,
1404,Dean College,Franklin,0.7595,,1180.0,,61170.0,,43400.0,43400.0,,,
1405,Diman Regional Technical Institute,Fall River,1.0,,44.0,,,27610.0,,,,,
1406,National Aviation Academy of New England,Concord,,,202.0,,,38319.0,,,,,
1407,Eastern Nazarene College,Quincy,0.6192,1035.0,408.0,,39617.0,,27990.0,27990.0,,,
1408,Emerson College,Boston,0.4275,1373.0,4147.0,,75777.0,,53232.0,53232.0,,,
1409,Emmanuel College,Boston,0.7969,1233.0,1855.0,,61953.0,,44908.0,44908.0,,,
1410,Endicott College,Beverly,0.7331,1205.0,2999.0,,55970.0,,37776.0,37776.0,,,
1411,Rob Roy Academy-Fall River,Fall River,,,32.0,,,24305.0,,,,,
1412,Fisher College,Boston,0.7423,,1131.0,,51555.0,,34150.0,34150.0,,,
1413,Fitchburg State University,Fitchburg,0.8606,1124.0,2911.0,,22864.0,,10921.0,17001.0,,,
1414,Framingham State University,Framingham,0.8741,1105.0,2712.0,,26377.0,,11380.0,17460.0,,,
1415,Benjamin Franklin Cummings Institute of Technology,Boston,,,438.0,,28971.0,,18228.0,18228.0,,,
1416,Gordon College,Wenham,0.9176,1215.0,1255.0,,39666.0,,27040.0,27040.0,,,
1417,Gordon-Conwell Theological Seminary,South Hamilton,,,,,,,,,,,
1418,Greenfield Community College,Greenfield,,,1073.0,,14649.0,,5642.0,11762.0,,,
1419,Hampshire College,Amherst,0.689,,505.0,,69045.0,,54452.0,54452.0,,,
1420,Harvard University,Cambridge,0.0324,1553.0,7973.0,,81292.0,,57261.0,57261.0,,,
1421,Hebrew College,Newton Centre,,,0.0,,,,,,,,
1422,Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,0.5789,,31.0,,40832.0,,22490.0,22490.0,,,
1423,College of the Holy Cross,Worcester,0.3636,1361.0,3062.0,,74286.0,,58360.0,58360.0,,,
1424,Holyoke Community College,Holyoke,,,3007.0,,13992.0,,5570.0,10514.0,,,
1425,Lasell University,Newton,0.7321,1149.0,1236.0,,61057.0,,42630.0,42630.0,,,
1426,Lawrence Memorial Hospital School of Nursing,Medford,,,225.0,,,,27587.0,27587.0,,,
1427,Lesley University,Cambridge,0.8623,,1406.0,,48919.0,,31364.0,31364.0,,,
1428,Longy School of Music of Bard College,Cambridge,0.8902,,40.0,,58800.0,,50675.0,50675.0,,,
1429,Lowell Academy Hairstyling Institute,Lowell,,,65.0,,,22721.0,,,,,
1430,University of Massachusetts-Lowell,Lowell,0.8595,1255.0,11985.0,,27701.0,,16182.0,34550.0,,,
1431,University of Massachusetts-Amherst,Amherst,0.6352,1376.0,24111.0,,32355.0,,16952.0,38171.0,,,
1432,University of Massachusetts-Boston,Boston,0.8076,1198.0,11749.0,,28946.0,,15132.0,36105.0,,,
1433,Massachusetts Bay Community College,Wellesley Hills,,,2738.0,,12540.0,,5376.0,10320.0,,,
1434,MCPHS University,Boston,0.8826,1232.0,3488.0,,56414.0,,37230.0,37230.0,,,
1435,Massachusetts College of Art and Design,Boston,0.7864,,1753.0,,30956.0,,14570.0,40960.0,,,
1436,Massachusetts Institute of Technology,Cambridge,0.0396,1560.0,4638.0,,77020.0,,57986.0,57986.0,,,
1437,Massachusetts Maritime Academy,Buzzards Bay,0.894,,1323.0,,33717.0,,10634.0,24522.0,,,
1438,University of Massachusetts Chan Medical School,Worcester,,,,,,,,,,,
1439,William James College,Newton,,,40.0,,,,,,,,
1440,Massachusetts School of Barbering,Quincy,,,54.0,,,18891.0,,,,,
1441,Massasoit Community College,Brockton,,,3635.0,,14126.0,,5376.0,10320.0,,,
